entity_group, word, reason
LIVB, patiente âgée de 45 ans, Living Beings (Patient or Disabled Group)
DISO, antécédents pathologiques, Disorders (Acquired Abnormality)
DISO, douleurs lombaires gauches, Disorders (Symptom)
DISO, acouphènes, Disorders (Symptom)
DISO, palpitations, Disorders (Symptom)
DISO, céphalées, Disorders (Symptom)
DISO, hypersudation, Disorders (Symptom)
DISO, mictionnels, Disorders (Acquired Abnormality)
DISO, hématurie, Disorders (Symptom)
PHEN, tension artérielle, Phenomena (Physiologic function)
PHEN, repos, Phenomena (Physiologic function)
PHEN, miction, Phenomena (Physiologic function)
PHEN, tension artérielle, Phenomena (Physiologic function)
OBJC, UIV, Objects (Medical device)
OBJC, image lacunaire arrondie, Objects (Physical Object)
OBJC, contours réguliers, Objects (Physical Object)
OBJC, grand axe, Objects (Physical Object)
OBJC, dôme vésical, Objects (Anatomical structure)
PHEN, échographie, Phenomena (Diagnostic procedure)
OBJC, masse tissulaire, Objects (Physical Object)
OBJC, dôme vésical, Objects (Anatomical structure)
OBJC, lumière, Objects (Anatomical structure)
OBJC, diamètre, Objects (Physical Object)
OBJC, imagerie par résonance magnétique (IRM), Objects (Medical device)
OBJC, formation arrondie, Objects (Physical Object)
OBJC, contours réguliers, Objects (Physical Object)
OBJC, signes d'extension extravésicale, Objects (Sign or symptom)
OBJC, coupes, Objects (Physical Object)
OBJC, loges surrénaliennes, Objects (Anatomical structure)
OBJC, intégrité des glandes surrénales, Objects (Physiologic function)
OBJC, Figure 2, Objects (Physical Object)
PHEN, fond de l'œil, Phenomena (Physiologic function)
DISO, artères rétrécies, Disorders (Anatomical abnormality)
DISO, hypertension artérielle, Disorders (Disease or syndrome)
DISO, signes cicatriciels de choroïdopathie hypertensive, Disorders (Anatomical abnormality)
DISO, poussées hypertensives aiguës, Disorders (Disease or syndrome)
OBJC, cystoscopie, Objects (Diagnostic procedure)
OBJC, tumeur unique, Objects (Physical Object)
OBJC, bas fond vésical, Objects (Anatomical structure)
OBJC, barre interurétérale, Objects (Anatomical structure)
OBJC, muqueuse, Objects (Anatomical structure)
PROC, laparotomie médiane, Procedures (Therapeutic or Preventive procedure)
PROC, cystotomie longitudinale, Procedures (Therapeutic or Preventive procedure)
PROC, réséquée, Procedures (Therapeutic or Preventive procedure)
PHEN, tension artérielle, Phenomena (Physiologic function)
OBJC, mobilisation, Objects (Physiologic function)
OBJC, résection, Objects (Therapeutic or Preventive procedure)
PHEN, suites opératoires, Phenomena (Therapeutic or Preventive procedure)
PHEN, évolution postopératoire, Phenomena (Therapeutic or Preventive procedure)
DISO, recul de 28 mois, Disorders (Finding)
PHEN, chiffres tensionnels, Phenomena (Physiologic function)
OBJC, urographie intraveineuse de contrôle, Objects (Medical device)
